,Year,Age range,Percentage
1,2020,  0-4(%),5.637876032
2,2020,  5-9(%),6.181986226
3,2020, 10-14(%),6.029933514
4,2020, 15-19(%),5.491786172
5,2020, 20-24(%),6.161116246
6,2020, 25-29(%),6.673921469
7,2020, 30-34(%),6.741003548
8,2020, 35-39(%),6.565099431
9,2020, 40-44(%),6.099997019
10,2020, 45-49(%),6.416028145
11,2020, 50-54(%),6.881130557
12,2020, 55-59(%),6.724605706
13,2020, 60-64(%),5.748188784
14,2020, 65-69(%),5.001341642
15,2020, 70-74(%),5.014758057
16,2020, 75-79(%),3.583673713
17,2020, 80-84(%),2.572970394
18,2020, 85-89(%),1.565248502
19,2020, 90-94(%),0.702125757
20,2020, 95-99(%),0.184848395
21,2020, 100 & over(%),0.022360693
23,2025,  0-4(%),4.935217041
24,2025,  5-9(%),5.702364395
25,2025, 10-14(%),6.18988361
26,2025, 15-19(%),6.083010029
27,2025, 20-24(%),5.78581363
28,2025, 25-29(%),6.32164556
29,2025, 30-34(%),6.643730327
30,2025, 35-39(%),6.639338262
31,2025, 40-44(%),6.443159359
32,2025, 45-49(%),5.98784862
33,2025, 50-54(%),6.274796867
34,2025, 55-59(%),6.675938804
35,2025, 60-64(%),6.443159359
36,2025, 65-69(%),5.413952126
37,2025, 70-74(%),4.580923798
38,2025, 75-79(%),4.361320548
39,2025, 80-84(%),2.841666057
40,2025, 85-89(%),1.698265134
41,2025, 90-94(%),0.749579094
42,2025, 95-99(%),0.203499012
43,2025, 100 & over(%),0.024888368
45,2030,  0-4(%),4.801606797
46,2030,  5-9(%),5.019795971
47,2030, 10-14(%),5.681037444
48,2030, 15-19(%),6.255237985
49,2030, 20-24(%),6.354940323
50,2030, 25-29(%),5.943126319
51,2030, 30-34(%),6.311591481
52,2030, 35-39(%),6.568794613
53,2030, 40-44(%),6.544230269
54,2030, 45-49(%),6.349160477
55,2030, 50-54(%),5.886772823
56,2030, 55-59(%),6.123746496
57,2030, 60-64(%),6.435858163
58,2030, 65-69(%),6.109296882
59,2030, 70-74(%),4.999566512
60,2030, 75-79(%),4.029997399
61,2030, 80-84(%),3.505476404
62,2030, 85-89(%),1.927578534
63,2030, 90-94(%),0.842412508
64,2030, 95-99(%),0.226858943
65,2030, 100 & over(%),0.028899228
67,2035,  0-4(%),4.723462728
68,2035,  5-9(%),4.903813123
69,2035, 10-14(%),5.078438108
70,2035, 15-19(%),5.825604031
71,2035, 20-24(%),6.544142906
72,2035, 25-29(%),6.525535326
73,2035, 30-34(%),5.960151151
74,2035, 35-39(%),6.2650292
75,2035, 40-44(%),6.498339631
76,2035, 45-49(%),6.471143937
77,2035, 50-54(%),6.263597847
78,2035, 55-59(%),5.774075346
79,2035, 60-64(%),5.934386809
80,2035, 65-69(%),6.136207489
81,2035, 70-74(%),5.679606092
82,2035, 75-79(%),4.438623612
83,2035, 80-84(%),3.28209092
84,2035, 85-89(%),2.410397343
85,2035, 90-94(%),0.987633116
86,2035, 95-99(%),0.263368831
87,2035, 100 & over(%),0.034352456
89,2040,  0-4(%),4.816881807
90,2040,  5-9(%),4.832502592
91,2040, 10-14(%),4.968829435
92,2040, 15-19(%),5.181840128
93,2040, 20-24(%),6.124767463
94,2040, 25-29(%),6.719777333
95,2040, 30-34(%),6.545108564
96,2040, 35-39(%),5.928797626
97,2040, 40-44(%),6.209971741
98,2040, 45-49(%),6.437183147
99,2040, 50-54(%),6.396001079
100,2040, 55-59(%),6.15458896
101,2040, 60-64(%),5.616381942
102,2040, 65-69(%),5.681705222
103,2040, 70-74(%),5.731407717
104,2040, 75-79(%),5.078174924
105,2040, 80-84(%),3.658103637
106,2040, 85-89(%),2.299095415
107,2040, 90-94(%),1.255343018
108,2040, 95-99(%),0.322356182
109,2040, 100 & over(%),0.041182067
