,Rank,State/Territory,Life Expectancy 2019
0,1,Hawaii,82.3
1,2,California,81.7
2,3,New York,81.4
3,4,Minnesota,80.9
4,5,Connecticut,80.9
5,6,Massachusetts,80.6
6,7,Colorado,80.6
7,8,New Jersey,80.5
8,9,Washington,80.4
9,10,Florida,80.2
10,11,Utah,80.1
11,12,Arizona,80
12,13,Oregon,79.9
13,-,Guam,79.9
14,14,Rhode Island,79.8
15,15,Vermont,79.8
16,-,Puerto Rico,79.8
17,16,North Dakota,79.7
18,17,New Hampshire,79.7
19,18,Nebraska,79.6
20,-,U.S. Virgin Islands,79.6
21,19,Virginia,79.5
22,20,Wisconsin,79.5
23,21,Iowa,79.4
24,22,Idaho,79.4
25,23,Illinois,79.4
26,24,Texas,79.2
27,25,Maryland,79.2
28,26,Alaska,79
29,27,District of Columbia,79
30,28,South Dakota,78.9
31,29,Wyoming,78.9
32,30,Montana,78.9
33,-,United States,78.8
34,31,Maine,78.7
35,32,Nevada,78.7
36,33,Kansas,78.5
37,34,Delaware,78.5
38,35,Pennsylvania,78.4
39,36,North Carolina,78.1
40,37,New Mexico,78
41,38,Michigan,78.1
42,39,Georgia,77.9
43,40,Missouri,77.3
44,41,South Carolina,77.1
45,42,Indiana,77.1
46,43,Ohio,77
47,-,Northern Mariana Islands,76.1
48,44,Louisiana,76.1
49,45,Tennessee,76
50,46,Oklahoma,76
51,47,Arkansas,76
52,48,Kentucky,75.6
53,49,Alabama,75.5
54,50,Mississippi,74.9
55,-,American Samoa,74.8
56,51,West Virginia,74.8
