,State,Life Expectancy 2019,State and Local Spending,State and local Spending p/capita
0,Hawaii,82.3,"1,486.10",1061.5
1,California,81.7,"59,874.40",1519.654822
2,New York,81.4,"36,073.20",1849.907692
3,Minnesota,80.9,"5,325.90",951.0535714
4,Connecticut,80.9,"5,327.00",1479.722222
5,Massachusetts,80.6,"8,103.00",1174.347826
6,Colorado,80.6,"5,946.20",1025.206897
7,New Jersey,80.5,"11,770.50",1322.52809
8,Washington,80.4,"7,137.70",939.1710526
9,Florida,80.2,"13,233.80",615.5255814
10,Utah,80.1,"1,709.70",534.28125
11,Arizona,80.0,"4,870.10",667.1369863
12,Oregon,79.9,"5,755.60",1370.380952
13,Rhode Island,79.8,"1,235.80",1123.454545
14,Vermont,79.8,399.7,666.1666667
15,North Dakota,79.7,613.2,766.5
16,New Hampshire,79.7,834.9,596.3571429
17,Nebraska,79.6,"1,203.70",633.5263158
18,Virginia,79.5,"6,296.00",732.0930233
19,Wisconsin,79.5,"6,188.80",1067.034483
20,Iowa,79.4,"2,460.60",768.9375
21,Idaho,79.4,"1,194.80",663.7777778
22,Illinois,79.4,"20,739.50",1633.031496
23,Texas,79.2,"19,509.60",672.7448276
24,Maryland,79.2,"5,694.00",933.442623
25,Alaska,79.0,"1,379.50",1970.714286
26,District of Columbia,79.0,479,684.2857143
27,South Dakota,78.9,629.6,699.5555556
28,Wyoming,78.9,804.2,1340.333333
29,Montana,78.9,"1,039.70",945.1818182
30,Maine,78.7,"1,024.80",788.3076923
31,Nevada,78.7,"2,663.20",859.0967742
32,Kansas,78.5,"1,975.10",681.0689655
33,Delaware,78.5,794.8,794.8
34,Pennsylvania,78.4,"13,438.30",1049.867188
35,North Carolina,78.1,"6,453.00",614.5714286
36,New Mexico,78.0,"2,429.80",1157.047619
37,Michigan,78.1,"9,451.10",945.11
38,Georgia,77.9,"8,135.40",767.490566
39,Missouri,77.3,"5,786.60",948.6229508
40,South Carolina,77.1,"3,533.90",679.5961538
41,Indiana,77.1,"2,580.40",385.1343284
42,Ohio,77.0,"17,040.10",1456.418803
43,Louisiana,76.1,"5,045.90",1073.595745
44,Tennessee,76.0,"3,541.90",520.8676471
45,Oklahoma,76.0,"2,615.70",653.925
46,Arkansas,76.0,"2,132.90",710.9666667
47,Kentucky,75.6,"4,533.90",1007.533333
48,Alabama,75.5,"3,667.90",748.5510204
49,Mississippi,74.9,"2,891.60",963.8666667
50,West Virginia,74.8,"1,548.30",860.1666667
